1, 2, 1033200000, 4844, 6482
1, 3, 1035200000, 4844, 6884
1, 4, 1036200000, 5482, 7482
1, 5, 1040200000, 4844, 6085
1, 6, 1045200000, 4844, 6085
1, 7, 1047200000, 49585, 6884
1, 8, 1052200000, 5482, 6085
1, 9, 1055200000, 4844, 6085
1, 10, 1084200000, 5085, 5125
1, 11, 1095200000, 5482, 27504
1, 13, 1114200000, 4844, 4884
1, 14, 1120200000, 4844, 7482
1, 15, 1122200000, 4844, 4884
1, 17, 1152200000, 4844, 33233
1, 18, 1154200000, 4844, 6482
1, 19, 1157200000, 4844, 6884
1, 20, 1177200000, 20424, 6085
2, 3, 1190200000, 5683, 6085
2, 4, 1203200000, 5683, 6085
2, 5, 1204200000, 5683, 6482
2, 6, 1205200000, 5482, 20669
2, 7, 1206200000, 5085, 6326
2, 8, 1213200000, 4844, 6085
2, 9, 1214200000, 5683, 6085
2, 11, 1218200000, 5683, 6085
2, 12, 1219200000, 18482, 5482
2, 13, 1220200000, 4844, 4884
2, 14, 1229200000, 4884, 6125
2, 15, 1231200000, 5085, 5125
2, 16, 1235200000, 25811, 27052
2, 17, 1243200000, 4844, 20043
2, 18, 1257200000, 5683, 6482
2, 19, 1258200000, 5085, 6326
2, 20, 1259200000, 30843, 6683
3, 4, 1265200000, 4884, 6683
3, 5, 1266200000, 5085, 7482
3, 6, 1271200000, 4844, 6683
3, 7, 1273200000, 36732, 58739
3, 8, 1277200000, 5683, 6085
3, 9, 1280200000, 4844, 32959
3, 11, 1287200000, 5884, 6326
3, 12, 1289200000, 4884, 37736
3, 13, 1296200000, 4844, 4884
3, 15, 1299200000, 5085, 5125
3, 16, 1306200000, 5884, 6326
3, 17, 1308200000, 4844, 6085
3, 18, 1313200000, 28482, 29683
3, 19, 1318200000, 5085, 6683
3, 20, 1323200000, 5482, 6085
4, 5, 1324200000, 5884, 6326
4, 6, 1326200000, 5884, 6085
4, 7, 1330200000, 4884, 6482
4, 8, 1339200000, 4844, 6482
4, 10, 1345200000, 4884, 4884
4, 11, 1349200000, 4844, 6085
4, 13, 1355200000, 60683, 58718
4, 14, 1359200000, 4844, 6085
